movieId	genres
89	Thriller
93	Romance
94	Romance
95	Thriller
97	Crime
100	Thriller
101	Romance
102	Comedy
104	Comedy
105	Romance
107	Musical
111	Thriller
116	Documentary
117	Crime
118	Romance
121	Drama
122	Romance
123	Romance
132	Thriller
133	Comedy
138	Drama
141	Comedy
144	Comedy
147	Drama
149	Thriller
150	Adventure
151	War
152	Horror
153	Adventure
154	Drama
157	War
158	Children
161	War
162	Documentary
163	Romance
164	Film_Noir
165	Thriller
166	Crime
171	Comedy
172	Sci_Fi
174	Comedy
178	Comedy
180	Romance
185	Thriller
186	Romance
191	Romance
196	Sci_Fi
197	Drama
198	Mystery
199	Romance
201	Fantasy
204	Action
207	Romance
210	Western
214	War
215	Romance
216	Comedy
218	Comedy
219	Drama
222	Romance
223	Comedy
224	Romance
225	Thriller
229	Thriller
231	Adventure
232	Romance
235	Comedy
237	Romance
246	Documentary
247	Crime
249	Romance
252	Romance
253	Horror
256	Sci_Fi
257	Mystery
259	Thriller
260	Sci_Fi
261	Drama
262	Children
263	Drama
265	Romance
266	War
267	Comedy
270	Romance
279	Drama
281	Romance
282	Drama
288	Thriller
290	Crime
300	Drama
302	Romance
307	Drama
308	Comedy
312	Comedy
314	Fantasy
315	Thriller
316	Sci_Fi
318	Crime
322	Comedy
326	Drama
327	Sci_Fi
329	Sci_Fi
330	Horror
332	Sci_Fi
334	Drama
335	Mystery
337	Drama
339	Romance
342	Comedy
344	Comedy
347	Film_Noir
348	Comedy
350	Mystery
353	Fantasy
355	Fantasy
357	Romance
358	Drama
361	Romance
362	Romance
365	Drama
367	Fantasy
368	Western
370	Action
371	Comedy
372	Romance
374	Children
376	Thriller
377	Romance
378	Romance
379	Sci_Fi
382	Romance
383	Western
384	Crime
393	Fantasy
404	Documentary
405	Fantasy
407	Thriller
410	Fantasy
413	Comedy
420	Thriller
422	Thriller
423	Thriller
424	Drama
426	Sci_Fi
427	Romance
428	Drama
434	Thriller
435	Sci_Fi
436	Thriller
442	Sci_Fi
444	Romance
445	Comedy
448	Drama
451	Romance
454	Thriller
455	Children
456	Thriller
457	Thriller
458	Western
459	Romance
466	War
474	Thriller
475	Drama
478	Crime
479	Thriller
481	Thriller
482	Thriller
483	Drama
485	Fantasy
488	Romance
490	Thriller
495	Drama
497	Romance
501	Drama
504	Sci_Fi
505	Comedy
506	Romance
507	Thriller
508	Drama
509	Romance
510	Drama
512	Sci_Fi
514	Comedy
515	Romance
517	Mystery
518	Comedy
519	Sci_Fi
521	Thriller
524	Drama
529	Drama
532	Horror
533	Fantasy
535	Drama
539	Romance
540	Thriller
541	Sci_Fi
543	Romance
544	Crime
545	Drama
546	Fantasy
547	Thriller
548	Mystery
550	Romance
551	Fantasy
552	Romance
554	Thriller
555	Thriller
556	Documentary
558	Fantasy
565	Horror
567	Comedy
570	Comedy
574	Comedy
575	Children
586	Children
587	Romance
588	Musical
589	Sci_Fi
590	Western
592	Thriller
593	Thriller
594	Fantasy
595	Romance
596	Fantasy
600	Crime
606	Fantasy
608	Thriller
611	Sci_Fi
613	Romance
616	Children
621	Drama
627	Thriller
628	Mystery
635	Comedy
640	Thriller
647	War
648	Mystery
653	Fantasy
659	Thriller
661	Fantasy
665	War
670	Drama
673	Fantasy
678	Thriller
680	Romance
681	Crime
685	Drama
692	Sci_Fi
694	Crime
700	Comedy
704	Adventure
705	Comedy
707	Thriller
709	Musical
712	Romance
716	Crime
719	Comedy
724	Fantasy
728	Comedy
729	Drama
733	Thriller
735	Horror
736	Romance
737	Sci_Fi
743	Comedy
748	Sci_Fi
750	War
751	Horror
757	Drama
760	War
764	Romance
765	Comedy
766	Drama
773	Drama
775	Mystery
778	Crime
780	Sci_Fi
781	Drama
784	Thriller
786	Thriller
788	Romance
789	Drama
798	Thriller
799	Thriller
800	Western
805	Thriller
809	Adventure
818	Comedy
823	Drama
830	Comedy
831	Drama
832	Thriller
833	Comedy
835	Drama
836	Thriller
838	Romance
841	Horror
842	Horror
849	Sci_Fi
850	Crime
851	Drama
854	Drama
858	Crime
866	Romance
875	Crime
879	Thriller
882	Thriller
888	Musical
891	Thriller
897	War
898	Romance
900	Romance
901	Musical
903	Romance
904	Mystery
905	Romance
906	Thriller
907	Romance
908	Romance
910	Crime
911	Romance
912	Romance
913	Film_Noir
914	Romance
915	Romance
917	Children
918	Musical
919	Fantasy
920	War
921	Comedy
922	Film_Noir
923	Mystery
924	Sci_Fi
926	Drama
927	Comedy
928	Romance
929	Film_Noir
930	Film_Noir
931	Romance
933	Romance
934	Comedy
935	Musical
936	Romance
937	Romance
940	Romance
941	Adventure
942	Film_Noir
943	Romance
944	Drama
945	Romance
946	War
947	Romance
949	Drama
950	Crime
951	Romance
952	Adventure
953	Romance
954	Drama
955	Romance
956	Romance
957	Drama
958	Mystery
959	Drama
960	Crime
964	Romance
967	Western
968	Sci_Fi
970	Romance
971	Drama
973	Comedy
974	Romance
976	War
982	Drama
990	Thriller
991	Drama
993	Drama
994	Comedy
996	Thriller
1003	Thriller
1006	Drama
1007	Western
1008	Western
1009	Fantasy
1010	Children
1012	Children
1013	Romance
1014	Children
1015	Children
1017	Children
1018	Mystery
1019	Sci_Fi
1020	Comedy
1021	Children
1022	Romance
1023	Musical
1025	Fantasy
1027	Adventure
1028	Fantasy
1029	Musical
1030	Musical
1033	Children
1034	Thriller
1035	Romance
1037	Sci_Fi
1038	Drama
1041	Drama
1042	Comedy
1049	Adventure
1050	Documentary
1051	Drama
1056	Drama
1059	Romance
1060	Comedy
1066	Romance
1067	Romance
1069	Film_Noir
1076	Thriller
1077	Sci_Fi
1078	War
1079	Crime
1080	Comedy
1083	Musical
1086	Mystery
1088	Romance
1089	Mystery
1090	War
1091	Comedy
1094	Romance
1097	Sci_Fi
1099	Fantasy
1100	Romance
1103	Drama
1104	Drama
1120	Comedy
1123	Documentary
1125	Crime
1128	Horror
1129	Sci_Fi
1130	Mystery
1131	Mystery
1132	Drama
1136	Fantasy
1147	Documentary
1148	Children
1150	Drama
1161	War
1172	Drama
1175	Romance
1176	Romance
1177	Romance
1178	War
1185	Drama
1186	Drama
1187	Drama
1189	Documentary
1191	Musical
1193	Drama
1194	Comedy
1196	Sci_Fi
1197	Romance
1198	Adventure
1200	Sci_Fi
1202	Comedy
1203	Drama
1206	Sci_Fi
1207	Drama
1208	War
1209	Western
1212	Film_Noir
1213	Crime
1214	Sci_Fi
1215	Fantasy
1216	Romance
1217	War
1218	Thriller
1219	Horror
1222	War
1223	Sci_Fi
1224	War
1227	Crime
1231	Drama
1232	Mystery
1234	Crime
1235	Romance
1237	Drama
1238	Comedy
1240	Sci_Fi
1242	War
1244	Romance
1245	Film_Noir
1246	Drama
1247	Romance
1248	Film_Noir
1252	Film_Noir
1253	Sci_Fi
1254	Western
1255	Sci_Fi
1256	War
1258	Horror
1260	Film_Noir
1261	Fantasy
1262	War
1264	Romance
1266	Western
1268	Comedy
1270	Sci_Fi
1271	Crime
1273	Film_Noir
1275	Fantasy
1276	Drama
1278	Fantasy
1279	Comedy
1284	Film_Noir
1285	Comedy
1286	Romance
1287	Adventure
1290	Romance
1291	Adventure
1292	Comedy
1295	Drama
1296	Romance
1297	Comedy
1299	War
1300	Comedy
1302	Fantasy
1304	Western
1305	Romance
1307	Romance
1317	Comedy
1321	Thriller
1323	Horror
1330	Horror
1334	Sci_Fi
1335	Mystery
1336	Thriller
1339	Romance
1340	Sci_Fi
1341	Horror
1344	Thriller
1345	Fantasy
1347	Thriller
1348	Horror
1350	Mystery
1354	Mystery
1356	Sci_Fi
1358	Drama
1360	Drama
1363	Drama
1366	Drama
1367	Children
1370	Thriller
1371	Sci_Fi
1372	Mystery
1373	Sci_Fi
1374	Sci_Fi
1375	Sci_Fi
1376	Sci_Fi
1378	Western
1381	Romance
1382	Action
1385	Thriller
1387	Horror
1388	Thriller
1389	Horror
1391	Sci_Fi
1393	Romance
1394	Comedy
1396	Sci_Fi
1401	Drama
1405	Animation
1406	Drama
1407	Mystery
1408	War
1409	Romance
1413	Drama
1414	Comedy
1416	Musical
1419	Adventure
1425	Comedy
1427	Thriller
1429	Thriller
1432	Thriller
1438	Thriller
1449	Comedy
1453	Romance
1459	Mystery
1461	Comedy
1464	Film_Noir
1468	Romance
1476	Comedy
1480	Thriller
1483	Thriller
1485	Comedy
1496	Romance
1497	Action
1500	Romance
1503	Comedy
1509	Drama
1513	Comedy
1515	Thriller
